Object Name,Bounding Box,Area,Overlap Area,Percentage
Coca_Cola,"(391, 125), (616, 229)",23400,0.0,0.0
Coca_Cola,"(302, 149), (506, 347)",40392,0.0,0.0
Fanta,"(401, 134), (515, 409)",31350,0.0,0.0
Fanta,"(214, 162), (325, 423)",28971,0.0,0.0
Fanta,"(132, 171), (238, 431)",27560,0.0,0.0
Fanta,"(415, 168), (529, 429)",29754,0.0,0.0
Fanta,"(392, 63), (519, 319)",32512,0.0,0.0
Bia_Truc_Bach,"(318, 257), (566, 374)",29016,0.0,0.0
Fanta,"(299, 71), (408, 320)",27141,0.0,0.0
Fanta,"(135, 100), (238, 345)",25235,0.0,0.0
Fanta,"(468, 95), (584, 322)",26332,0.0,0.0
Fanta,"(61, 50), (180, 305)",30345,0.0,0.0
Fanta,"(202, 194), (313, 450)",28416,0.0,0.0
Fanta,"(89, 185), (205, 446)",30276,0.0,0.0
Fanta,"(287, 202), (403, 464)",30392,0.0,0.0
Fanta,"(492, 205), (617, 480)",34375,0.0,0.0
Fanta,"(447, 43), (583, 324)",38216,0.0,0.0
Fanta,"(251, 77), (375, 359)",34968,0.0,0.0
Bia_Truc_Bach,"(293, 337), (551, 465)",33024,0.0,0.0
Fanta,"(68, 109), (205, 388)",38223,0.0,0.0
Fanta,"(214, 309), (481, 436)",33909,0.0,0.0
Fanta,"(344, 319), (605, 435)",30276,0.0,0.0
Fanta,"(329, 167), (598, 291)",33356,33069.1484375,99.1400300920374
Fanta,"(330, 167), (600, 291)",33480,33069.1484375,98.77284479540023
Fanta,"(327, 55), (600, 185)",35490,0.0,0.0
Fanta,"(440, 90), (638, 209)",23562,0.0,0.0
Fanta,"(65, 175), (325, 306)",34060,0.0,0.0
Fanta,"(105, 308), (356, 427)",29869,0.0,0.0
Fanta,"(109, 105), (368, 245)",36260,0.0,0.0
Fanta,"(21, 98), (262, 242)",34704,0.0,0.0
